,profile_id,orgc_stock_mineral,orgc_stock_organic,top_cm,bot_cm,mineral_fraction,organic_fraction,DATEYR,LATDD,LONDD
228,BG0041,6.34204,0.0,0,30,1.0,0.0,1994.0,42.51611,24.98861
229,BG0042,4.7114899999999995,0.0,0,30,1.0,0.0,1994.0,42.41361,25.02139
230,BG0044,4.5816,0.0,0,30,1.0,0.0,1994.0,42.20917,25.06806
231,BG0045,11.425740000000001,0.0,0,30,1.0,0.0,1994.0,42.3025,25.67194
232,BG0046,12.51065,0.0,0,30,1.0,0.0,1994.0,43.54611,27.92306
233,BI0022,22.107539999999997,0.0,0,30,1.0,0.0,1983.0,-3.36667,29.31667
234,BI0023,19.54712,0.0,0,30,1.0,0.0,1983.0,-2.83333,30.58333
235,BI0025,10.4382,0.0,0,30,1.0,0.0,1983.0,-3.36667,29.31667
236,BI0026,9.767999999999999,0.0,0,30,1.0,0.0,1983.0,-3.36667,29.31667
237,BI0027,6.3178,0.0,0,30,1.0,0.0,1983.0,-2.85,29.75
238,BI0028,13.721,0.0,0,30,1.0,0.0,1983.0,-2.83333,30.58333
239,BI0029,3.20928,0.0,0,30,1.0,0.0,1983.0,-3.36667,29.31667
240,BI0030,7.50126,0.0,0,30,1.0,0.0,1983.0,-3.36667,29.31667
241,BI0031,5.63664,0.0,0,30,1.0,0.0,1984.0,-2.36556,29.775
242,BI0032,4.65522,0.0,0,30,1.0,0.0,1984.0,-2.32,29.81889
243,BO0066,7.4399999999999995,0.0,0,30,1.0,0.0,1992.0,-10.97,-67.4
244,BR0295,2.736,0.0,0,30,1.0,0.0,1956.0,-22.67,-47.66972
245,BR0296,4.488,0.0,0,30,1.0,0.0,1956.0,-24.67,-47.91972
246,BR0297,4.9559999999999995,0.0,0,30,1.0,0.0,1956.0,-23.5,-47.5
247,BR0298,7.074000000000001,0.0,0,30,1.0,0.0,1956.0,-25.0,-47.91972
248,BR0299,8.3852,0.0,0,30,1.0,0.0,1957.0,-22.5,-46.83
249,BR0309,3.321,0.0,0,30,1.0,0.0,1960.0,-20.5,-45.5
250,BR0333,5.9449500209475,0.0,0,30,1.0,0.0,1965.0,-5.44,-47.5
251,BR0350,4.896,0.0,0,30,1.0,0.0,1966.0,-17.82972,-54.66972
252,BR0356,4.6538,0.0,0,30,1.0,0.0,1966.0,-18.5,-54.83
253,BR0366,1.4400000000000004,0.0,0,30,1.0,0.0,1966.0,-20.17,-54.83
254,BR0388,2.883599923484,0.0,0,30,1.0,0.0,1968.0,-23.19,-53.77
255,BR0435,1.8135000441750002,0.0,0,30,1.0,0.0,1969.0,-9.19972,-38.04
256,BR0445,0.90599999664,0.0,0,30,1.0,0.0,1970.0,-12.85,-44.9
257,BR0446,3.4297500000000003,0.0,0,30,1.0,0.0,1970.0,-12.94972,-43.79972
258,BR0449,4.065,0.0,0,30,1.0,0.0,1970.0,-10.94972,-44.79972
259,BR0467,13.018650000000001,0.0,0,30,1.0,0.0,1971.0,-19.25,-39.83
260,BR0470,5.218959833598,0.0,0,30,1.0,0.0,1971.0,-19.32972,-40.0
261,BR0477,5.616,0.0,0,30,1.0,0.0,1972.0,-11.39972,-41.45
262,BR0480,3.003,0.0,0,30,1.0,0.0,1972.0,-22.82972,-52.75
263,BR0525,4.347800075569,0.0,0,30,1.0,0.0,1975.0,-18.6,-45.36972
264,BR0528,6.322799999999999,0.0,0,30,1.0,0.0,1975.0,-18.56972,-45.36972
265,BR0530,2.8917000876689998,0.0,0,30,1.0,0.0,1976.0,-15.0,-43.79972
266,BR0538,12.5223,0.0,0,30,1.0,0.0,1977.0,-25.66667,-49.18333
267,BR0539,10.206000000000001,0.0,0,30,1.0,0.0,1977.0,-25.82972,-49.16972
268,BR0558,2.9258199484341,0.0,0,30,1.0,0.0,1978.0,-18.52,-48.02
269,BR0579,4.275,0.0,0,30,1.0,0.0,1979.0,-19.32972,-48.11972
270,BR0607,2.3695000379154996,0.0,0,30,1.0,0.0,1981.0,-14.97,-57.13972
271,BR0619,5.589000000000001,0.0,0,30,1.0,0.0,1982.0,-22.35,-44.72972
272,BR0622,2.898,0.0,0,30,1.0,0.0,1983.0,-29.0,-55.5
273,BR0623,6.658520000000001,0.0,0,30,1.0,0.0,1983.0,-24.3,-51.71667
274,BR0625,6.6736,0.0,0,30,1.0,0.0,1983.0,-24.3,-51.71667
275,BR0641,8.17425,0.0,0,30,1.0,0.0,1985.0,-16.35,-48.95
276,BR0642,5.32155,0.0,0,30,1.0,0.0,1985.0,-20.53333,-47.36667
277,BR0643,10.1726,0.0,0,30,1.0,0.0,1985.0,-15.98333,-47.98889
278,BR0644,7.940200000000001,0.0,0,30,1.0,0.0,1985.0,-16.48333,-49.1
279,BR0647,7.84188,0.0,0,30,1.0,0.0,1985.0,-15.59167,-47.71944
280,BR0648,7.7209,0.0,0,30,1.0,0.0,1985.0,-18.91667,-47.28333
281,BR0649,4.637880000000001,0.0,0,30,1.0,0.0,1985.0,-21.46667,-47.88333
282,BR0650,8.704080000000001,0.0,0,30,1.0,0.0,1985.0,-21.25833,-47.79167
283,BR0651,6.6251999999999995,0.0,0,30,1.0,0.0,1985.0,-15.59722,-47.71667
284,BR0652,14.468,0.0,0,30,1.0,0.0,1985.0,-22.93333,-46.46667
285,BR0655,12.52356,0.0,0,30,1.0,0.0,1985.0,-16.4,-49.0
286,BR0658,6.14588,0.0,0,30,1.0,0.0,1986.0,-9.93333,-36.53333
287,BR0667,6.1997,0.0,0,30,1.0,0.0,1986.0,-9.93333,-36.53333
288,BR0669,8.429640000000001,0.0,0,30,1.0,0.0,1986.0,-7.73333,-35.25
289,BR0679,9.71879958231,0.0,0,30,1.0,0.0,1987.0,-26.67,-51.52972
290,BR0681,5.214000000000001,0.0,0,30,1.0,0.0,1987.0,-2.60972,-55.72
291,BR0682,6.4688,0.0,0,30,1.0,0.0,1988.0,-28.82972,-54.83
292,BR0685,0.678,0.0,0,30,1.0,0.0,1988.0,-29.0,-55.66972
293,BR0690,5.158500000000001,0.0,0,30,1.0,0.0,1988.0,-28.57972,-54.16972
294,BW0361,1.2104000000000001,0.0,0,30,1.0,0.0,1986.0,-23.74167,26.47778
295,BW0395,0.978,0.0,0,30,1.0,0.0,1986.0,-20.3125,23.09583
296,BW0414,2.1798,0.0,0,30,1.0,0.0,1986.0,-18.61972,25.62806
297,BW0421,0.8665,0.0,0,30,1.0,0.0,1986.0,-23.74167,26.47778
298,BW0431,2.53592,0.0,0,30,1.0,0.0,1986.0,-20.20889,26.17722
299,BW0432,1.93198,0.0,0,30,1.0,0.0,1986.0,-23.08056,26.89361
300,BW0434,13.9649,0.0,0,30,1.0,0.0,1986.0,-20.44167,22.83056
301,BW0438,6.604199999999999,0.0,0,30,1.0,0.0,1986.0,-19.84944,23.53333
302,BW0461,16.8878,0.0,0,30,1.0,0.0,1986.0,-20.41944,22.83056
303,BW0475,1.7434999999999998,0.0,0,30,1.0,0.0,1986.0,-23.08056,26.89361
304,BW0477,8.1592,0.0,0,30,1.0,0.0,1986.0,-19.84556,23.53583
305,BW0488,3.2871000000000006,0.0,0,30,1.0,0.0,1986.0,-20.91611,27.02111
306,BW0499,2.05394,0.0,0,30,1.0,0.0,1986.0,-23.29,27.26833
307,BW0501,2.4865200000000005,0.0,0,30,1.0,0.0,1986.0,-20.99889,27.30222
308,BW0506,0.444,0.0,0,30,1.0,0.0,1986.0,-20.31056,23.045
309,BW0512,2.96,0.0,0,30,1.0,0.0,1986.0,-23.29,27.25444
310,BW0532,2.1450000000000005,0.0,0,30,1.0,0.0,1986.0,-22.74889,27.01472
311,BW0533,2.6142,0.0,0,30,1.0,0.0,1986.0,-18.61972,25.62806
312,BW0534,2.1648,0.0,0,30,1.0,0.0,1986.0,-22.74889,27.01472
313,BW0536,9.34596,0.0,0,30,1.0,0.0,1986.0,-19.84944,23.53333
314,BW0537,3.8180999999999994,0.0,0,30,1.0,0.0,1986.0,-20.91611,27.02111
315,BW0541,1.1817,0.0,0,30,1.0,0.0,1986.0,-20.91111,27.02667
316,BW0542,1.7870700000000002,0.0,0,30,1.0,0.0,1986.0,-20.91111,27.02667
317,BW0545,0.9216,0.0,0,30,1.0,0.0,1986.0,-20.30972,26.27472
318,BW0546,2.1859200000000003,0.0,0,30,1.0,0.0,1986.0,-20.30972,26.1075
319,BW0549,2.3664,0.0,0,30,1.0,0.0,1986.0,-19.88583,23.52194
320,BW0554,4.97744,0.0,0,30,1.0,0.0,1986.0,-18.46306,25.56694
321,BW0784,0.9099999999999999,0.0,0,30,1.0,0.0,1988.0,-21.94,27.88444
322,BW0789,1.5883,0.0,0,30,1.0,0.0,1988.0,-21.00333,27.29528
323,BW0860,1.605,0.0,0,30,1.0,0.0,1989.0,-22.42611,28.79111
324,BW0863,1.9359999999999997,0.0,0,30,1.0,0.0,1989.0,-22.37556,28.68722
325,BY0001,2.0879999999999996,0.0,0,30,1.0,0.0,1958.0,54.02972,30.29972
326,BY0002,2.9334000000000002,0.0,0,30,1.0,0.0,1958.0,54.18,30.21972
327,BY0003,3.837,0.0,0,30,1.0,0.0,1961.0,52.68,31.2
328,BY0004,10.203,0.0,0,30,1.0,0.0,1962.0,52.72,27.54972
329,BY0005,11.76,0.0,0,30,1.0,0.0,1962.0,51.97972,27.56972
330,BY0006,4.1858,0.0,0,30,1.0,0.0,1963.0,53.47972,25.68
331,BY0008,0.0,13.596,0,30,0.0,1.0,1964.0,55.59972,27.89972
332,BY0009,0.0,14.172,0,30,0.0,1.0,1964.0,53.72,29.47972
333,BY0010,0.0,27.215999999999998,0,30,0.0,1.0,1964.0,53.38,29.62
334,BY0011,9.8238,0.0,0,30,1.0,0.0,1965.0,52.16972,24.22972
335,BY0013,8.7,0.0,0,30,1.0,0.0,1965.0,52.54972,25.14972
336,BY0014,6.0009999999999994,0.0,0,30,1.0,0.0,1965.0,52.11972,23.96972
337,BY0015,4.2084,0.0,0,30,1.0,0.0,1965.0,53.31972,25.78
338,BY0017,4.589700000000001,0.0,0,30,1.0,0.0,1965.0,53.52,25.35
339,BY0018,3.3672000000000004,0.0,0,30,1.0,0.0,1966.0,53.7,23.87
340,BY0019,2.6374000000000004,0.0,0,30,1.0,0.0,1966.0,51.63,30.45
