,profile_id,orgc_stock_mineral,orgc_stock_organic,top_cm,bot_cm,mineral_fraction,organic_fraction,obs_date_yyyy,lat_dd,long_dd
9636,S1989AZ015005_90P0214,1.8140000000000003,0.0,0.0,30.0,1.0,0.0,1989,36.99445,-113.31111
9637,89FN700001_90P0255,0.59474,0.0,0.0,30.0,1.0,0.0,1989,24.98333,67.1
9638,89FN700002_90P0256,2.78018,0.0,0.0,30.0,1.0,0.0,1989,25.41667,68.53333
9639,89FN700003_90P0257,2.34702,0.0,0.0,30.0,1.0,0.0,1989,24.85,68.31667
9640,89FN700006_90P0260,1.4511599999999998,0.0,0.0,30.0,1.0,0.0,1989,31.45833,73.2
9641,89FN700008_90P0262,2.1528,0.0,0.0,30.0,1.0,0.0,1989,32.1,74.18333
9642,89FN700012_90P0266,2.4872400000000003,0.0,0.0,30.0,1.0,0.0,1989,34.4,71.35
9643,89FN700013_90P0267,2.70186,0.0,0.0,30.0,1.0,0.0,1989,35.925,74.26667
9644,89FN700014_90P0268,4.52359,0.0,0.0,30.0,1.0,0.0,1989,36.48333,74.65
9645,S1989NC095007_90P0269,74.03129999999999,0.0,0.0,30.0,1.0,0.0,1989,35.60278,-76.47305
9646,S1989NC095008_90P0270,12.40914,0.0,0.0,30.0,1.0,0.0,1989,35.43667,-76.47639
9647,S1989NC095009_90P0271,36.0694,0.0,0.0,30.0,1.0,0.0,1989,35.41361,-76.315
9648,S1989NC095010_90P0272,14.111700000000003,0.0,0.0,30.0,1.0,0.0,1989,35.47055,-76.02333
9649,S1989NC095011_90P0273,5.912,0.0,0.0,30.0,1.0,0.0,1989,35.53194,-76.04861
9650,S1989NC095013_90P0275,64.63509,0.0,0.0,30.0,1.0,0.0,1989,35.53806,-76.18667
9651,S1989KY061019_90P0417,4.948600000000001,0.0,0.0,30.0,1.0,0.0,1989,37.13472,-86.21333
9652,S1990NM013004_90P0495,1.1606400000000001,0.0,0.0,30.0,1.0,0.0,1990,32.60025,-106.7335
9653,S1990CA029006_90P0575,5.34204,0.0,0.0,30.0,1.0,0.0,1990,35.19556,-118.98528
9654,S1990CA029007_90P0576,1.6042899999999998,0.0,0.0,30.0,1.0,0.0,1990,35.20945,-118.9575
9655,S1990CA029008_90P0577,2.3712,0.0,0.0,30.0,1.0,0.0,1990,35.25472,-119.06194
9656,S1990CA029011_90P0580,2.7275300000000007,0.0,0.0,30.0,1.0,0.0,1990,35.22167,-119.24306
9657,S1990CA029012_90P0581,1.7436,0.0,0.0,30.0,1.0,0.0,1990,35.19528,-119.24306
9658,S1990CA029013_90P0582,9.5856,0.0,0.0,30.0,1.0,0.0,1990,35.18056,-119.27556
9659,90CA691014_90P0583,2.00056,0.0,0.0,30.0,1.0,0.0,1990,35.14887,-119.31038
